date,state,total_cases_cum,total_death_cum,total_cases,total_death
2020-04-16,AK,300,9,7.0,0.0
2020-04-17,AK,309,9,9.0,0.0
2020-04-18,AK,314,9,5.0,0.0
2020-04-19,AK,319,9,5.0,0.0
2020-04-20,AK,321,9,2.0,0.0
2020-04-21,AK,329,9,8.0,0.0
2020-04-22,AK,335,9,6.0,0.0
2020-04-23,AK,337,9,2.0,0.0
2020-04-24,AK,339,9,2.0,0.0
2020-04-25,AK,339,9,0.0,0.0
2020-04-26,AK,341,9,2.0,0.0
2020-04-27,AK,345,9,4.0,0.0
2020-04-28,AK,351,9,6.0,0.0
2020-04-29,AK,355,9,4.0,0.0
2020-04-30,AK,355,9,0.0,0.0
2020-05-01,AK,364,10,9.0,1.0
2020-05-02,AK,365,10,1.0,0.0
2020-05-03,AK,368,10,3.0,0.0
2020-05-04,AK,370,10,2.0,0.0
2020-05-05,AK,371,10,1.0,0.0
2020-05-06,AK,372,10,1.0,0.0
2020-05-07,AK,374,10,2.0,0.0
2020-05-08,AK,377,10,3.0,0.0
2020-05-09,AK,378,10,1.0,0.0
2020-05-10,AK,379,10,1.0,0.0
2020-05-11,AK,381,10,2.0,0.0
2020-05-12,AK,383,10,2.0,0.0
2020-05-13,AK,384,10,1.0,0.0
2020-05-14,AK,389,11,5.0,1.0
2020-05-15,AK,390,11,1.0,0.0
2020-05-16,AK,394,11,4.0,0.0
2020-05-17,AK,398,11,4.0,0.0
2020-05-18,AK,401,11,3.0,0.0
2020-05-19,AK,401,11,0.0,0.0
2020-05-20,AK,404,11,3.0,0.0
2020-05-21,AK,404,11,0.0,0.0
2020-05-22,AK,406,11,2.0,0.0
2020-05-23,AK,410,11,4.0,0.0
2020-05-24,AK,410,11,0.0,0.0
2020-05-25,AK,411,11,1.0,0.0
2020-05-26,AK,413,11,2.0,0.0
2020-05-27,AK,414,11,1.0,0.0
2020-05-28,AK,427,11,13.0,0.0
2020-05-29,AK,432,11,5.0,0.0
2020-05-30,AK,435,12,3.0,1.0
2020-05-31,AK,463,13,28.0,1.0
2020-06-01,AK,470,13,7.0,0.0
2020-06-02,AK,490,13,20.0,0.0
2020-06-03,AK,508,14,18.0,1.0
2020-06-04,AK,518,14,10.0,0.0
2020-06-05,AK,529,14,11.0,0.0
2020-06-06,AK,541,15,12.0,1.0
2020-06-07,AK,549,15,8.0,0.0
2020-06-08,AK,567,15,18.0,0.0
2020-06-09,AK,578,15,11.0,0.0
2020-06-10,AK,598,15,20.0,0.0
2020-06-11,AK,616,15,18.0,0.0
2020-06-12,AK,630,15,14.0,0.0
2020-06-13,AK,656,15,26.0,0.0
2020-06-14,AK,665,15,9.0,0.0
2020-06-15,AK,668,16,3.0,1.0
2020-06-16,AK,681,16,13.0,0.0
2020-06-17,AK,701,16,20.0,0.0
2020-06-18,AK,713,16,12.0,0.0
2020-06-19,AK,729,16,16.0,0.0
2020-06-20,AK,750,16,21.0,0.0
2020-06-21,AK,761,16,11.0,0.0
2020-06-22,AK,767,16,6.0,0.0
2020-06-23,AK,783,16,16.0,0.0
2020-06-24,AK,797,16,14.0,0.0
2020-06-25,AK,821,16,24.0,0.0
2020-06-26,AK,839,17,18.0,1.0
2020-06-27,AK,858,17,19.0,0.0
2020-06-28,AK,887,17,29.0,0.0
2020-06-29,AK,908,17,21.0,0.0
2020-06-30,AK,944,17,36.0,0.0
2020-07-01,AK,982,18,38.0,1.0
2020-07-02,AK,1020,18,38.0,0.0
2020-07-03,AK,1065,18,45.0,0.0
2020-07-04,AK,1114,18,49.0,0.0
2020-07-05,AK,1141,18,27.0,0.0
2020-07-06,AK,1168,18,27.0,0.0
2020-07-07,AK,1186,18,18.0,0.0
2020-07-08,AK,1226,18,40.0,0.0
2020-07-09,AK,1273,20,47.0,2.0
2020-07-10,AK,1323,21,50.0,1.0
2020-07-11,AK,1386,21,63.0,0.0
2020-07-12,AK,1478,21,92.0,0.0
2020-07-13,AK,1537,21,59.0,0.0
2020-07-14,AK,1580,22,43.0,1.0
2020-07-16,AK,1694,27,63.0,2.0
2020-07-17,AK,1736,27,42.0,0.0
2020-07-18,AK,1798,27,62.0,0.0
2020-07-19,AK,1881,27,83.0,0.0
2020-07-20,AK,1954,28,73.0,1.0
2020-07-21,AK,2044,28,90.0,0.0
2020-07-22,AK,2138,30,94.0,2.0
2020-07-23,AK,2202,30,64.0,0.0
2020-07-24,AK,2259,30,57.0,0.0
2020-07-25,AK,2347,32,88.0,2.0
2020-07-26,AK,2532,32,185.0,0.0
2020-07-27,AK,2626,32,94.0,0.0
2020-07-28,AK,2735,33,109.0,1.0
2020-07-29,AK,2803,33,68.0,0.0
2020-07-30,AK,2887,33,84.0,0.0
2020-07-31,AK,2993,33,106.0,0.0
2020-08-01,AK,3138,34,145.0,1.0
2020-08-02,AK,3274,36,136.0,2.0
2020-08-03,AK,3333,36,59.0,0.0
2020-08-04,AK,3393,37,60.0,1.0
2020-08-05,AK,3448,38,55.0,1.0
2020-08-06,AK,3488,38,40.0,0.0
2020-08-07,AK,3543,40,55.0,2.0
2020-08-08,AK,3622,40,79.0,0.0
2020-08-09,AK,3720,42,98.0,2.0
2020-08-10,AK,3788,42,68.0,0.0
2020-08-11,AK,3837,42,49.0,0.0
2020-08-12,AK,3898,43,61.0,1.0
2020-08-13,AK,3979,43,81.0,0.0
2020-08-15,AK,4163,46,84.0,0.0
2020-08-16,AK,4265,47,102.0,1.0
2020-08-18,AK,4381,50,66.0,0.0
2020-08-19,AK,4454,50,73.0,0.0
2020-08-20,AK,4537,50,83.0,0.0
2020-08-21,AK,4606,50,69.0,0.0
2020-08-22,AK,4694,50,88.0,0.0
2020-08-23,AK,4760,50,66.0,0.0
2020-08-24,AK,4832,50,72.0,0.0
2020-08-25,AK,4865,50,33.0,0.0
2020-08-26,AK,4917,50,52.0,0.0
2020-08-27,AK,5002,52,85.0,2.0
2020-08-28,AK,5118,52,116.0,0.0
2020-08-29,AK,5211,52,93.0,0.0
2020-08-30,AK,5254,52,43.0,0.0
2020-08-31,AK,5290,52,36.0,0.0
2020-09-01,AK,5325,52,35.0,0.0
2020-09-02,AK,5390,53,65.0,1.0
2020-09-03,AK,5476,53,86.0,0.0
2020-09-04,AK,5595,55,119.0,2.0
2020-09-05,AK,5682,55,87.0,0.0
2020-09-06,AK,5776,56,94.0,1.0
2020-09-07,AK,5810,57,34.0,1.0
2020-09-08,AK,5844,58,34.0,1.0
2020-09-09,AK,5909,58,65.0,0.0
2020-09-10,AK,6023,58,114.0,0.0
2020-09-11,AK,6112,58,89.0,0.0
2020-09-12,AK,6215,59,103.0,1.0
2020-09-13,AK,6277,59,62.0,0.0
2020-09-14,AK,6351,59,74.0,0.0
2020-09-15,AK,6394,59,43.0,0.0
2020-09-16,AK,6444,59,50.0,0.0
2020-09-17,AK,6552,59,108.0,0.0
2020-09-18,AK,6659,60,107.0,1.0
2020-09-19,AK,6753,61,94.0,1.0
2020-09-20,AK,6861,62,108.0,1.0
2020-09-21,AK,6931,63,70.0,1.0
2020-09-22,AK,6988,63,57.0,0.0
2020-09-23,AK,7064,64,76.0,1.0
2020-09-24,AK,7195,66,131.0,2.0
2020-09-25,AK,7321,68,126.0,2.0
2020-09-26,AK,7440,68,119.0,0.0
2020-09-27,AK,7550,68,110.0,0.0
2020-09-28,AK,7664,68,114.0,0.0
2020-09-29,AK,7788,68,124.0,0.0
2020-09-30,AK,7891,69,103.0,1.0
2020-10-01,AK,8029,71,138.0,2.0
2020-10-02,AK,8170,73,141.0,2.0
2020-10-03,AK,8312,73,142.0,0.0
2020-10-04,AK,8451,74,139.0,1.0
2020-10-05,AK,8646,75,195.0,1.0
2020-10-06,AK,8792,75,146.0,0.0
2020-10-07,AK,8914,77,122.0,2.0
2020-10-08,AK,9048,78,134.0,1.0
2020-10-09,AK,9233,79,185.0,1.0
2020-10-10,AK,9464,80,231.0,1.0
2020-10-11,AK,9714,82,250.0,2.0
2020-10-12,AK,9904,83,190.0,1.0
2020-10-14,AK,10218,88,156.0,2.0
2020-10-15,AK,10383,88,165.0,0.0
2020-10-16,AK,10604,89,221.0,1.0
2020-10-17,AK,10814,91,210.0,2.0
2020-10-18,AK,11024,91,210.0,0.0
2020-10-19,AK,11226,91,202.0,0.0
2020-10-20,AK,11458,93,232.0,2.0
2020-10-21,AK,11682,95,224.0,2.0
2020-10-22,AK,11921,95,239.0,0.0
2020-10-23,AK,12169,97,248.0,2.0
2020-10-24,AK,12525,97,356.0,0.0
2020-10-26,AK,13392,102,350.0,2.0
2020-11-01,AK,15757,116,359.0,0.0
2020-11-03,AK,16512,122,404.0,2.0
2020-11-05,AK,17263,125,327.0,0.0
2020-12-14,AK,40604,259,406.0,2.0
2020-12-17,AK,41847,265,360.0,2.0
2020-12-19,AK,42659,267,325.0,1.0
2020-12-20,AK,42839,268,180.0,1.0
2020-12-21,AK,42987,269,148.0,1.0
2020-12-22,AK,43424,269,437.0,0.0
2020-12-23,AK,43786,270,362.0,1.0
2020-12-24,AK,44057,270,271.0,0.0
2020-12-25,AK,44206,270,149.0,0.0
2020-12-26,AK,44394,271,188.0,1.0
2020-12-27,AK,44702,273,308.0,2.0
2020-12-28,AK,44826,274,124.0,1.0
2020-12-29,AK,45033,276,207.0,2.0
2020-12-30,AK,45399,278,366.0,2.0
2021-01-02,AK,46530,287,289.0,2.0
2021-01-03,AK,46698,289,168.0,2.0
2021-01-04,AK,46912,290,214.0,1.0
2021-01-05,AK,47121,290,209.0,0.0
2021-01-07,AK,47798,294,337.0,1.0
2021-01-08,AK,48197,296,399.0,2.0
2021-01-09,AK,48571,297,374.0,1.0
2021-01-10,AK,48819,298,248.0,1.0
2021-01-11,AK,48994,298,175.0,0.0
2021-01-12,AK,49152,298,158.0,0.0
2021-01-13,AK,49446,298,294.0,0.0
2021-01-14,AK,49778,299,332.0,1.0
2021-01-15,AK,50069,300,291.0,1.0
2021-01-16,AK,50264,300,195.0,0.0
2021-01-17,AK,50522,302,258.0,2.0
2021-01-18,AK,50670,302,148.0,0.0
2021-01-19,AK,50797,303,127.0,1.0
2021-01-20,AK,50958,304,161.0,1.0
2021-01-21,AK,51157,304,199.0,0.0
2021-01-22,AK,51422,306,265.0,2.0
2021-01-23,AK,51663,306,241.0,0.0
2021-01-24,AK,51827,307,164.0,1.0
2021-01-25,AK,51908,307,81.0,0.0
2021-01-26,AK,51991,308,83.0,1.0
2021-01-27,AK,52156,308,165.0,0.0
2021-01-28,AK,52330,308,174.0,0.0
2021-01-29,AK,52507,308,177.0,0.0
2021-01-30,AK,52636,308,129.0,0.0
2021-01-31,AK,52762,308,126.0,0.0
2021-02-01,AK,52827,308,65.0,0.0
2021-02-02,AK,52940,308,113.0,0.0
2021-02-03,AK,53116,308,176.0,0.0
2021-02-04,AK,53273,308,157.0,0.0
2021-02-05,AK,53433,308,160.0,0.0
2021-02-06,AK,53557,309,124.0,1.0
2021-02-07,AK,53769,309,212.0,0.0
2021-02-08,AK,53855,309,86.0,0.0
2021-02-09,AK,53961,310,106.0,1.0
2021-02-10,AK,54131,310,170.0,0.0
2021-02-11,AK,54263,310,132.0,0.0
2021-02-12,AK,54394,310,131.0,0.0
2021-02-13,AK,54488,311,94.0,1.0
2021-02-14,AK,54674,312,186.0,1.0
2021-02-15,AK,54758,312,84.0,0.0
2021-02-16,AK,54818,312,60.0,0.0
2021-02-17,AK,54857,313,39.0,1.0
2021-02-18,AK,55069,314,212.0,1.0
2021-02-19,AK,55256,315,187.0,1.0
2021-02-21,AK,55505,320,113.0,2.0
2021-02-22,AK,55566,320,61.0,0.0
2021-02-23,AK,55623,322,57.0,2.0
2021-02-24,AK,55800,322,177.0,0.0
2021-02-25,AK,55950,322,150.0,0.0
2021-02-26,AK,56052,322,102.0,0.0
2021-02-27,AK,56212,323,160.0,1.0
2021-02-28,AK,56331,323,119.0,0.0
2021-03-01,AK,56398,325,67.0,2.0
2021-03-02,AK,56523,326,125.0,1.0
2021-03-03,AK,56696,326,173.0,0.0
2021-03-04,AK,56823,326,127.0,0.0
2021-03-05,AK,56959,328,136.0,2.0
2021-03-06,AK,57088,328,129.0,0.0
2021-03-07,AK,57190,328,102.0,0.0
2021-03-08,AK,57280,329,90.0,1.0
2021-03-09,AK,57370,329,90.0,0.0
2021-03-10,AK,57516,330,146.0,1.0
2021-03-11,AK,57731,330,215.0,0.0
2021-03-12,AK,57841,331,110.0,1.0
2021-03-13,AK,58010,331,169.0,0.0
2021-03-14,AK,58117,331,107.0,0.0
2021-03-15,AK,58212,331,95.0,0.0
2021-03-16,AK,58317,331,105.0,0.0
2021-03-17,AK,58493,331,176.0,0.0
2021-03-18,AK,58645,332,152.0,1.0
2021-03-19,AK,58708,332,63.0,0.0
2021-03-20,AK,58893,333,185.0,1.0
2021-03-21,AK,59010,333,117.0,0.0
2021-03-22,AK,59060,333,50.0,0.0
2021-03-23,AK,59233,333,173.0,0.0
2021-03-24,AK,59443,335,210.0,2.0
2021-03-25,AK,59589,335,146.0,0.0
2021-03-26,AK,59766,337,177.0,2.0
2021-03-27,AK,59965,338,199.0,1.0
2021-03-28,AK,60164,338,199.0,0.0
2021-03-29,AK,60293,338,129.0,0.0
2021-03-30,AK,60379,339,86.0,1.0
2021-03-31,AK,60538,340,159.0,1.0
2021-04-01,AK,60768,340,230.0,0.0
2021-04-02,AK,60964,340,196.0,0.0
2021-04-03,AK,61197,340,233.0,0.0
2021-04-04,AK,61329,340,132.0,0.0
2021-04-05,AK,61446,340,117.0,0.0
2021-04-06,AK,61530,340,84.0,0.0
2021-04-07,AK,61747,340,217.0,0.0
2021-04-08,AK,61969,341,222.0,1.0
2021-04-09,AK,62212,341,243.0,0.0
2021-04-10,AK,62391,341,179.0,0.0
2021-04-11,AK,62488,341,97.0,0.0
2021-04-12,AK,62566,341,78.0,0.0
2021-04-13,AK,62698,341,132.0,0.0
2021-04-14,AK,62895,341,197.0,0.0
2021-04-15,AK,63081,341,186.0,0.0
2021-04-16,AK,63262,341,181.0,0.0
2021-04-17,AK,63439,341,177.0,0.0
2021-04-18,AK,63580,341,141.0,0.0
2021-04-19,AK,63696,341,116.0,0.0
2021-04-20,AK,63794,341,98.0,0.0
2021-04-21,AK,64007,341,213.0,0.0
2021-04-22,AK,64225,341,218.0,0.0
2021-04-23,AK,64367,341,142.0,0.0
2021-04-24,AK,64503,341,136.0,0.0
2021-04-25,AK,64703,341,200.0,0.0
2021-04-26,AK,64786,341,83.0,0.0
2021-04-27,AK,64916,341,130.0,0.0
2021-04-28,AK,65100,341,184.0,0.0
2021-04-29,AK,65266,341,166.0,0.0
2021-04-30,AK,65409,341,143.0,0.0
2021-05-01,AK,65498,341,89.0,0.0
2021-05-02,AK,65587,341,89.0,0.0
2021-05-03,AK,65678,342,91.0,1.0
2021-05-04,AK,65762,342,84.0,0.0
2021-05-05,AK,65908,342,146.0,0.0
2021-05-06,AK,66004,343,96.0,1.0
2021-05-07,AK,66120,343,116.0,0.0
2021-05-08,AK,66196,343,76.0,0.0
2021-05-09,AK,66272,343,76.0,0.0
2021-05-10,AK,66350,343,78.0,0.0
2021-05-11,AK,66407,345,57.0,2.0
2021-05-12,AK,66491,347,84.0,2.0
2021-05-13,AK,66574,347,83.0,0.0
2021-05-14,AK,66683,347,109.0,0.0
2021-05-15,AK,66726,347,43.0,0.0
2021-05-16,AK,66769,347,43.0,0.0
2021-05-19,AK,66963,362,96.0,0.0
2021-05-20,AK,67043,362,80.0,0.0
2021-05-21,AK,67107,362,64.0,0.0
2021-05-22,AK,67137,362,30.0,0.0
2021-05-23,AK,67167,362,30.0,0.0
2021-05-24,AK,67199,362,32.0,0.0
2021-05-25,AK,67252,362,53.0,0.0
2021-05-26,AK,67317,362,65.0,0.0
2021-05-27,AK,67357,362,40.0,0.0
2021-05-28,AK,67403,362,46.0,0.0
2021-05-29,AK,67429,362,26.0,0.0
2021-05-30,AK,67455,362,26.0,0.0
2021-05-31,AK,67481,362,26.0,0.0
2021-06-01,AK,67507,362,26.0,0.0
2021-06-02,AK,67541,362,34.0,0.0
2021-06-03,AK,67591,362,50.0,0.0
2021-06-04,AK,67648,362,57.0,0.0
2021-06-05,AK,67664,362,16.0,0.0
2021-06-06,AK,67680,362,16.0,0.0
2021-06-07,AK,67698,362,18.0,0.0
2021-06-08,AK,67730,362,32.0,0.0
2021-06-09,AK,67763,362,33.0,0.0
2021-06-10,AK,67793,362,30.0,0.0
2021-06-12,AK,67843,366,20.0,0.0
2021-06-13,AK,67863,366,20.0,0.0
2021-06-14,AK,67885,366,22.0,0.0
2021-06-15,AK,67910,366,25.0,0.0
2021-06-16,AK,67936,366,26.0,0.0
2021-06-17,AK,67959,366,23.0,0.0
2021-06-18,AK,67982,366,23.0,0.0
2021-06-19,AK,68005,366,23.0,0.0
2021-06-20,AK,68031,366,26.0,0.0
2021-06-21,AK,68112,366,81.0,0.0
2021-06-22,AK,68145,366,33.0,0.0
2021-06-23,AK,68179,367,34.0,1.0
2021-06-24,AK,68198,367,19.0,0.0
2021-06-25,AK,68218,367,20.0,0.0
2021-06-26,AK,68245,367,27.0,0.0
2021-06-27,AK,68272,367,27.0,0.0
2021-06-28,AK,68300,367,28.0,0.0
2021-06-29,AK,68339,367,39.0,0.0
2021-07-01,AK,68428,370,49.0,0.0
2021-07-02,AK,68478,370,50.0,0.0
2021-07-03,AK,68517,370,39.0,0.0
2021-07-04,AK,68556,370,39.0,0.0
2021-07-05,AK,68595,370,39.0,0.0
2021-07-06,AK,68634,370,39.0,0.0
2021-07-07,AK,68674,370,40.0,0.0
2021-07-08,AK,68732,370,58.0,0.0
2021-07-09,AK,68791,372,59.0,2.0
2021-07-10,AK,68844,372,53.0,0.0
2021-07-11,AK,68897,372,53.0,0.0
2021-07-12,AK,68951,374,54.0,2.0
2021-07-13,AK,69069,374,118.0,0.0
2021-07-14,AK,69187,374,118.0,0.0
2021-07-15,AK,69320,374,133.0,0.0
2021-07-16,AK,69453,374,133.0,0.0
2021-07-17,AK,69599,374,146.0,0.0
2021-07-18,AK,69745,374,146.0,0.0
2021-07-19,AK,69891,374,146.0,0.0
2021-07-20,AK,70109,374,218.0,0.0
2021-07-21,AK,70328,375,219.0,1.0
2021-07-22,AK,70539,375,211.0,0.0
2021-07-23,AK,70751,377,212.0,2.0
2021-07-24,AK,70929,377,178.0,0.0
2021-07-25,AK,71107,377,178.0,0.0
2021-07-26,AK,71286,377,179.0,0.0
2021-07-27,AK,71521,377,235.0,0.0
2021-07-28,AK,71757,379,236.0,2.0
2021-07-29,AK,72021,379,264.0,0.0
2021-07-31,AK,72519,382,234.0,0.0
2021-08-01,AK,72753,382,234.0,0.0
2021-08-02,AK,72988,382,235.0,0.0
2021-08-03,AK,73257,384,269.0,2.0
2021-08-04,AK,73584,385,327.0,1.0
2021-08-06,AK,74244,390,313.0,0.0
2021-08-07,AK,74514,390,270.0,0.0
2021-08-08,AK,74784,390,270.0,0.0
2021-08-09,AK,75056,391,272.0,1.0
2021-08-10,AK,75295,392,239.0,1.0
2021-08-11,AK,75654,392,359.0,0.0
2021-08-13,AK,76343,395,313.0,0.0
2021-08-14,AK,76676,395,333.0,0.0
2021-08-15,AK,77009,395,333.0,0.0
2021-08-16,AK,77343,395,334.0,0.0
2021-08-20,AK,79479,406,441.0,2.0
2021-08-21,AK,79830,406,351.0,0.0
2021-08-22,AK,80181,406,351.0,0.0
2021-08-23,AK,80533,406,352.0,0.0
2021-08-28,AK,83250,427,370.0,0.0
2021-08-29,AK,83620,427,370.0,0.0
2021-08-30,AK,83991,427,371.0,0.0
2021-10-23,AK,128084,673,0.0,0.0
2021-10-24,AK,128084,673,0.0,0.0
2021-10-30,AK,132645,699,0.0,0.0
2021-10-31,AK,132645,699,0.0,0.0
2021-11-06,AK,136822,714,0.0,0.0
2021-11-07,AK,136822,714,0.0,0.0
2021-11-11,AK,138983,801,0.0,0.0
2021-11-13,AK,139835,801,0.0,0.0
2021-11-14,AK,139835,801,0.0,0.0
2021-11-17,AK,141686,812,437.0,2.0
2021-11-20,AK,142717,832,0.0,0.0
2021-11-21,AK,142717,832,0.0,0.0
2021-11-23,AK,143598,834,144.0,2.0
2021-11-25,AK,144073,840,0.0,0.0
2021-11-27,AK,144692,847,0.0,0.0
2021-11-28,AK,144692,847,0.0,0.0
2021-11-30,AK,145581,850,183.0,2.0
2021-12-01,AK,145905,851,324.0,1.0
2021-12-02,AK,146247,853,342.0,2.0
2021-12-03,AK,146558,853,311.0,0.0
2021-12-04,AK,146558,853,0.0,0.0
2021-12-05,AK,146558,853,0.0,0.0
2021-12-07,AK,147103,853,0.0,0.0
2021-12-09,AK,147535,856,0.0,0.0
2021-12-10,AK,147975,856,440.0,0.0
2021-12-11,AK,147975,856,0.0,0.0
2021-12-12,AK,147975,856,0.0,0.0
2021-12-13,AK,148380,857,405.0,1.0
2021-12-14,AK,148380,857,0.0,0.0
2021-12-15,AK,148772,859,392.0,2.0
2021-12-16,AK,148772,859,0.0,0.0
2021-12-18,AK,149173,915,0.0,0.0
2021-12-19,AK,149173,915,0.0,0.0
2021-12-20,AK,149591,915,418.0,0.0
2021-12-21,AK,149591,915,0.0,0.0
2021-12-23,AK,149815,945,0.0,0.0
2021-12-24,AK,149815,945,0.0,0.0
2021-12-25,AK,149815,945,0.0,0.0
2021-12-26,AK,149815,945,0.0,0.0
2021-12-28,AK,150643,945,0.0,0.0
2021-12-30,AK,151583,947,0.0,0.0
2021-12-31,AK,151583,947,0.0,0.0
2022-01-01,AK,151583,947,0.0,0.0
2022-01-02,AK,151583,947,0.0,0.0
2022-01-04,AK,154369,947,0.0,0.0
2022-01-06,AK,155871,947,0.0,0.0
2022-01-08,AK,159436,948,0.0,0.0
2022-01-09,AK,159436,948,0.0,0.0
2022-01-11,AK,162626,948,0.0,0.0
2022-01-13,AK,167008,953,0.0,0.0
2022-01-15,AK,172329,955,0.0,0.0
2022-01-16,AK,172329,955,0.0,0.0
2022-01-17,AK,172329,955,0.0,0.0
2022-01-18,AK,172329,955,0.0,0.0
2022-01-20,AK,182285,1018,0.0,0.0
2022-01-22,AK,188612,1018,0.0,0.0
2022-01-23,AK,188612,1018,0.0,0.0
2022-01-25,AK,194176,1039,0.0,0.0
2022-01-27,AK,199552,1048,0.0,0.0
2022-01-29,AK,205241,1052,0.0,0.0
2022-01-30,AK,205241,1052,0.0,0.0
2022-02-01,AK,209564,1052,0.0,0.0
2022-02-03,AK,213606,1060,0.0,0.0
2022-02-05,AK,217366,1060,0.0,0.0
2022-02-06,AK,217366,1060,0.0,0.0
2022-02-08,AK,220388,1060,0.0,0.0
2022-02-10,AK,222608,1081,0.0,0.0
2022-02-12,AK,224461,1081,0.0,0.0
2022-02-13,AK,224461,1081,0.0,0.0
2022-02-15,AK,226276,1081,0.0,0.0
2022-02-17,AK,227111,1108,0.0,0.0
2022-02-19,AK,228237,1108,0.0,0.0
2022-02-20,AK,228237,1108,0.0,0.0
2022-02-21,AK,228237,1108,0.0,0.0
2022-02-22,AK,228237,1108,0.0,0.0
2022-02-24,AK,229986,1130,0.0,0.0
2022-02-26,AK,230848,1130,0.0,0.0
2022-02-27,AK,230848,1130,0.0,0.0
2022-03-01,AK,231645,1130,0.0,0.0
2022-03-03,AK,232232,1158,0.0,0.0
2022-03-05,AK,232933,1158,0.0,0.0
2022-03-06,AK,232933,1158,0.0,0.0
2022-03-07,AK,233394,1158,461.0,0.0
2022-03-08,AK,233394,1158,0.0,0.0
2022-03-10,AK,234865,1168,0.0,0.0
2022-03-12,AK,235505,1168,0.0,0.0
2022-03-13,AK,235505,1168,0.0,0.0
2022-03-15,AK,236001,1168,0.0,0.0
2022-03-17,AK,236471,1169,0.0,0.0
2022-03-19,AK,236965,1169,0.0,0.0
2022-03-20,AK,236965,1169,0.0,0.0
2022-03-21,AK,237325,1169,360.0,0.0
2022-03-22,AK,237325,1169,0.0,0.0
2022-03-24,AK,237883,1189,0.0,0.0
2022-03-26,AK,238420,1189,0.0,0.0
